,code,name
0,room_0001,거실
1,room_0002,다이닝
2,room_0003,옷장
3,room_0004,침실
4,room_0005,키즈룸
5,room_0006,학생방
6,room_0007,오피스
7,fur_type0001,테이블
8,fur_type0002,소파
9,fur_type0003,식탁
10,fur_type0004,식탁의자
11,fur_type0005,주방수납장
12,fur_type0006,"식탁, 식탁의자"
13,fur_type0007,옷장
14,fur_type0008,붙박이장
15,fur_type0009,드레스룸
16,fur_type0010,"옷장, 드레스룸"
17,fur_type0011,"옷장, 수납,서랍장"
18,fur_type0012,"수납,서랍장"
19,fur_type0013,"옷장, 붙박이장"
20,fur_type0014,매트릭스
21,fur_type0015,침대
22,fur_type0016,"화장대, 서랍장"
23,fur_type0017,"침대, 화장대, 서랍장"
24,fur_type0018,침대
25,fur_type0019,"옷장, 서랍장"
26,fur_type0020,"수납장,책상"
27,fur_type0021,"수납장,책상, 책상,의자"
28,fur_type0022,"책상,의자"
29,fur_type0023,"수납장,책상, 침대"
30,fur_type0024,"수납장,책상, 옷장, 서랍장"
31,fur_type0025,책상
32,fur_type0026,의자
33,fur_type0027,"책상, 의자"
34,fur_type0028,책상 수납장
35,fur_type0029,침대
36,fur_type0030,"책상 수납장, 옷장,서랍장"
37,fur_type0031,"옷장,서랍장"
38,fur_type0032,"책상, 옷장,서랍장"
39,fur_type0033,"책상, 책상 수납장"
40,fur_type0034,"책상, 침대"
41,fur_type0035,책상 수납장
42,fur_type0036,책상
43,fur_type0037,의자
44,fur_type0038,"책상, 책상 수납장"
45,int_room0001,바스
46,int_room0002,수납
47,int_room0003,전체공사
48,int_room0004,중문
49,int_room0005,창호
50,int_room0006,키친
51,int_type0001,판넬바스
52,int_type0002,타일바스
53,int_type0003,현관수납
54,int_type0004,공간수납
55,int_type0005,붙박이장
56,int_type0006,스탠다드
57,int_type0007,프리미엄
58,int_type0008,중문
59,int_type0009,도어
60,int_type0010,기능창
61,int_type0011,발코니창
62,int_type0012,유로
63,int_type0013,밀란
64,spa_0001,거실
65,spa_0002,다이닝룸
66,spa_0003,드레스룸
67,spa_0004,발코니
68,spa_0005,서재/멀티룸
69,spa_0006,아이방
70,spa_0007,욕실
71,spa_0008,전체
72,spa_0009,침실
73,spa_0010,키친
74,spa_0011,현관
75,spa_9999,기타
76,cos_0001,1억원 이상
77,cos_0002,1천만원 미만
78,cos_0003,1천만원대
79,cos_0004,2천만원대
80,cos_0005,3천만원대
81,cos_0006,4천만원대
82,cos_0007,5천만원대
83,cos_0008,6천만원대
84,cos_0009,7천만원 이상
85,sty_0001,내추럴
86,sty_0002,모던
87,sty_0003,빈티지&앤틱
88,sty_0004,심플&미니멀
89,sty_0005,클래식
90,sty_0006,한국&동양적
91,sty_9999,기타
