path,cosine,sim01,is_outlier(<tau)
./empty_room\1-001.jpg,0.77848,0.88924,0
./empty_room\1-002.jpg,0.768244,0.884122,0
./empty_room\1-003.jpg,0.611455,0.805728,0
./empty_room\1-004.jpg,0.554691,0.777345,0
./empty_room\1-005.jpg,0.455244,0.727622,1
./empty_room\1-006.jpg,0.722227,0.861114,0
./empty_room\1-007.jpg,0.799789,0.899894,0
./empty_room\1-008.jpg,0.624989,0.812495,0
./empty_room\1-009.jpg,0.691706,0.845853,0
./empty_room\1-010.jpg,0.67856,0.83928,0
./empty_room\1-011.jpg,0.691706,0.845853,0
./empty_room\1-012.jpg,0.736094,0.868047,0
./empty_room\1-013.jpg,0.76044,0.88022,0
./empty_room\1-014.jpg,0.706933,0.853466,0
./empty_room\1-015.jpg,0.646369,0.823184,0
./empty_room\1-016.jpg,0.699021,0.84951,0
./empty_room\1-017.jpg,0.665937,0.832968,0
./empty_room\1-018.jpg,0.71276,0.85638,0
./empty_room\1-019.jpg,0.749878,0.874939,0
./empty_room\1-021.jpg,0.767946,0.883973,0
./empty_room\1-022.jpg,0.758208,0.879104,0
./empty_room\1-023.jpg,0.777717,0.888858,0
./empty_room\1-024.jpg,0.8111,0.90555,0
./empty_room\1-025.jpg,0.702782,0.851391,0
./empty_room\1-026.jpg,0.706914,0.853457,0
./empty_room\1-027.jpg,0.794423,0.897211,0
./empty_room\1-028.jpg,0.871581,0.93579,0
./empty_room\1-029.jpg,0.718905,0.859452,0
./empty_room\1-030.jpg,0.501702,0.750851,0
./empty_room\1-031.jpg,0.765052,0.882526,0
./empty_room\1-032.jpg,0.824173,0.912086,0
./empty_room\1-033.jpg,0.804002,0.902001,0
./empty_room\1-034.jpg,0.707497,0.853748,0
./empty_room\1-035.jpg,0.79944,0.89972,0
./empty_room\1-036.jpg,0.622802,0.811401,0
./empty_room\1-037.jpg,0.463104,0.731552,1
./empty_room\1-038.jpg,0.601083,0.800542,0
./empty_room\1-039.jpg,0.562978,0.781489,0
./empty_room\1-040.jpg,0.849259,0.924629,0
./empty_room\1-041.jpg,0.798721,0.899361,0
./empty_room\1-043.jpg,0.737744,0.868872,0
./empty_room\1-044.jpg,0.625483,0.812742,0
./empty_room\1-045.jpg,0.482741,0.741371,0
./empty_room\1-046.jpg,0.450265,0.725132,1
./empty_room\1-047.jpg,0.769432,0.884716,0
./empty_room\1-048.jpg,0.676345,0.838173,0
./empty_room\1-049.jpg,0.583669,0.791835,0
./empty_room\1-050.jpg,0.75021,0.875105,0
./empty_room\1_100.png,0.717464,0.858732,0
./empty_room\1_101.png,0.506533,0.753266,0
./empty_room\1_102.png,0.853145,0.926573,0
./empty_room\1_103.png,0.823232,0.911616,0
./empty_room\1_104.png,0.807154,0.903577,0
./empty_room\1_105.png,0.793108,0.896554,0
./empty_room\1_106.png,0.684997,0.842498,0
./empty_room\1_107.png,0.626062,0.813031,0
./empty_room\1_108.png,0.795257,0.897629,0
./empty_room\1_109.png,0.775112,0.887556,0
./empty_room\1_110.png,0.479117,0.739558,0
./empty_room\1_111.png,0.44087,0.720435,1
./empty_room\1_112.png,0.735439,0.86772,0
./empty_room\1_113.png,0.807335,0.903667,0
./empty_room\1_114.png,0.803135,0.901567,0
./empty_room\1_115.png,0.470123,0.735062,1
./empty_room\1_116.png,0.557089,0.778545,0
./empty_room\1_117.png,0.626159,0.81308,0
./empty_room\1_118.png,0.795188,0.897594,0
./empty_room\1_119.png,0.809076,0.904538,0
./empty_room\1_120.png,0.763874,0.881937,0
./empty_room\1_121.png,0.471634,0.735817,0
./empty_room\1_122.png,0.611,0.8055,0
./empty_room\1_123.png,0.71453,0.857265,0
./empty_room\1_124.png,0.811873,0.905937,0
./empty_room\1_125.png,0.679844,0.839922,0
./empty_room\1_126.png,0.502261,0.75113,0
./empty_room\1_127.png,0.600346,0.800173,0
./empty_room\1_128.png,0.694496,0.847248,0
./empty_room\1_129.png,0.736215,0.868108,0
./empty_room\1_130.png,0.78737,0.893685,0
./empty_room\1_131.png,0.649778,0.824889,0
./empty_room\1_132.png,0.791472,0.895736,0
./empty_room\1_133.png,0.593529,0.796764,0
./empty_room\1_134.png,0.738098,0.869049,0
./empty_room\1_135.png,0.732412,0.866206,0
./empty_room\1_136.png,0.527299,0.76365,0
./empty_room\1_137.png,0.627185,0.813592,0
./empty_room\1_138.png,0.787072,0.893536,0
./empty_room\1_139.png,0.560679,0.78034,0
./empty_room\1_140.png,0.78972,0.89486,0
./empty_room\1_141.png,0.594537,0.797268,0
./empty_room\1_142.png,0.74693,0.873465,0
./empty_room\1_143.png,0.827347,0.913673,0
./empty_room\1_144.png,0.585104,0.792552,0
./empty_room\1_145.png,0.499676,0.749838,0
./empty_room\1_146.png,0.748058,0.874029,0
./empty_room\1_147.png,0.649922,0.824961,0
./empty_room\1_148.png,0.68919,0.844595,0
./empty_room\1_149.png,0.758933,0.879466,0
./empty_room\1_150.png,0.71859,0.859295,0
./empty_room\1_151.png,0.599984,0.799992,0
